No.Of actions,Policy_time_divide,Policy_time_crack,policy_time_sort,Scan_time
100,1.38E+09,3.46E+08,5.03E+06,8.21E+08
200,1.38E+09,3.48E+08,1.00E+07,8.18E+08
300,1.37E+09,3.46E+08,1.50E+07,8.02E+08
400,1.38E+09,3.48E+08,2.00E+07,8.00E+08
500,1.38E+09,3.46E+08,2.49E+07,7.90E+08
600,1.38E+09,3.47E+08,2.98E+07,7.85E+08
700,1.38E+09,3.47E+08,3.48E+07,7.82E+08
800,1.38E+09,3.46E+08,3.95E+07,7.69E+08
900,1.37E+09,3.47E+08,4.44E+07,7.67E+08
1000,1.37E+09,3.47E+08,4.93E+07,7.63E+08
2000,1.37E+09,3.46E+08,9.56E+07,6.71E+08
20019,1.38E+09,3.46E+08,4.89E+08,1.96E+06