100,1.37E+09,3.48E+08,4.88E+08,3.35E+06,1.93E+06
200,1.39E+09,3.48E+08,4.91E+08,6.70E+06,1.93E+06
300,1.38E+09,3.47E+08,4.88E+08,1.03E+07,1.93E+06
400,1.38E+09,3.47E+08,4.88E+08,1.32E+07,1.96E+06
500,1.37E+09,3.47E+08,4.88E+08,1.65E+07,1.93E+06
600,1.38E+09,3.48E+08,4.90E+08,1.99E+07,1.92E+06
700,1.37E+09,3.48E+08,4.88E+08,2.31E+07,1.98E+06
800,1.38E+09,3.49E+08,5.06E+08,2.64E+07,1.93E+06
900,1.37E+09,3.46E+08,4.88E+08,2.94E+07,1.92E+06
1000,1.38E+09,3.47E+08,4.89E+08,3.27E+07,1.92E+06
2000,1.37E+09,3.46E+08,4.89E+08,6.46E+07,1.92E+06
20018,1.38E+09,3.58E+08,4.99E+08,1.64E+09,8216